Datum,Month,TotalRevenue,PageviewsAlexa, pageeCPM,USDeCPM,Adsense,OpenX,OtherAdNetw,Outbr,ADX,MobPV,TotalMobile,MobeCPM,MobAdsense,MobOpenX,MobOtherAd,MobOutB,ADXm,AdSnsDesktop,AdSnsMobile,AdSnsRadio,USDesktop,USDBC,USDMobile,MobileExpo9 ,TotalExpo9,MobileOutbrain,TotalOutbrain,TotalSwitchAds,TotalConv,USDEURO
Sun    20/Mar/16,Mar-16,3403.89,2613000.00,1.30,1.47,1026.77,1024.69,229.75,705.13,417.54,1670000.00,1520.39,0.91,493.42,300.34,112.63,494.00,120.00,362.00,493.42,160.00,816.56,0.00,338.57,58.00,163.92,494.00,705.13,26.11,0.00,0.89
Mon    21/Mar/16,Mar-16,3820.87,3034000.00,1.26,1.42,1146.59,1168.57,260.59,772.62,472.50,1638000.00,1497.49,0.91,493.00,302.08,127.41,455.00,120.00,455.00,493.00,185.00,976.08,0.00,340.29,58.00,180.00,455.00,772.62,28.03,0.00,0.89
Tue    22/Mar/16,Mar-16,3631.39,3039000.00,1.19,1.35,1161.82,1137.96,258.81,622.80,450.00,1636000.00,1476.68,0.90,560.00,319.09,116.58,361.00,120.00,402.00,560.00,187.00,922.44,0.00,359.45,44.00,175.00,361.00,622.80,29.21,0.00,0.89
Wed    23/Mar/16,Mar-16,3723.52,3080000.00,1.21,1.36,1192.81,1239.99,208.55,539.99,542.18,1745000.00,1425.84,0.82,567.00,318.41,102.43,318.00,120.00,415.00,567.00,195.00,1034.99,0.00,357.60,40.00,134.29,318.00,539.99,24.90,0.00,0.89
Thu    24/Mar/16,Mar-16,4167.28,3092000.00,1.35,1.51,1221.17,1341.16,230.88,808.42,565.65,1689000.00,1607.59,0.95,530.00,377.21,77.38,503.00,120.00,430.00,530.00,248.00,1079.26,0.00,422.33,4.00,160.28,503.00,808.42,15.58,0.00,0.89
Fri    25/Mar/16,Mar-16,3578.94,2591000.00,1.38,1.54,1062.83,1195.15,206.31,681.45,433.20,1675000.00,1487.82,0.89,516.00,350.63,72.19,429.00,120.00,364.00,516.00,175.00,943.49,0.00,391.72,5.00,140.84,429.00,681.45,14.00,0.00,0.90
Sat    26/Mar/16,Mar-16,3061.25,2324000.00,1.32,1.47,901.30,1037.60,199.86,565.60,356.88,1533000.00,1278.07,0.83,428.00,312.27,87.80,330.00,120.00,295.00,428.00,168.00,810.27,0.00,348.84,5.00,109.75,330.00,565.60,20.44,0.00,0.90
Sun    27/Mar/16,Mar-16,3037.15,2283000.00,1.33,1.49,903.74,1003.86,204.69,553.93,370.92,1507000.00,1285.20,0.85,457.00,304.50,72.71,331.00,120.00,280.00,457.00,180.00,781.33,0.00,340.18,5.00,135.96,331.00,553.93,16.49,0.00,0.90
Mon    28/Mar/16,Mar-16,3508.91,2685000.00,1.31,1.46,977.46,1184.78,266.84,638.64,441.19,1715000.00,1305.99,0.76,451.00,321.90,73.08,340.00,120.00,333.00,451.00,184.00,964.03,0.00,359.64,5.00,203.34,340.00,638.64,18.13,0.00,0.90
Tue    29/Mar/16,Mar-16,3422.33,2888000.00,1.19,1.32,1081.45,1020.16,263.74,578.46,478.52,1638000.00,1246.47,0.76,483.00,229.98,73.49,340.00,120.00,379.00,483.00,212.00,883.22,0.00,257.06,5.00,198.86,340.00,578.46,18.79,0.00,0.89
